INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
9199,5,-1.1,-.37,.36,18.1,.047,266,-162,.99315,4.43, ,10,1,9,2
9202,3,4.6,1.395,.67,43.7,.053,11,178,.98515,3.79,1.76,11.5,0,5,3
9204,3,7.4,.21,.48, ,.602,61.5, ,1.001,2.6,.34,10.2,0,8,1
9205,0,11.7,1.59,.39,78.4,.069, ,259,.96476,2.81,1.88,9.2,-2,11, 
9206,6,4.9,-.41,.32,62.1,-.422,16,266,.95684,3.26,.38,11.5,0,6,3
9207,6,6.1,-1.58,.58,-43.8,.567,112,-171,.9909,3.3,3.44,12.3,0,7,2
9208,5,7,.25,-.59,112.9,-.505,102,-92,.96639,3.16,.48,11.9,0,8,3
9209,2,17.4,1.695,1.71,2.4,.531,10,38,.99735,2.09,.64,9.4,-1,9,1
9210,3,2.4,-1.13,.28,-32.1,.032,24,696,.99168,3.31, ,11.5,0,7,2
9211,0,9.1,.66,-1.21,57.5,-.022,-57,409,.95728,3.28,.99,10.3,1,10, 
9215,4,6.8,.31,-.32, ,.028,158,-202,1.03718,2.2,1.77,6.4,-1,7,2
9216,3,5.8,.31,1.63,49.5,.036,23,-212,.9916,2.75,.03,10.5,-1,6,3
9218,6,-6.2,.29,.54,5.7,-.522,54,282,.98976, ,.34,12.9,0,6,2
9222,3,-1.8,.2,.32,1.3,.604,-151,386,.99495,2.17,.52,2.6,-1,7,1
9223,0,10.2,.51,.31,15.1,-.092,-183,-349,1.0532,3.38,1.83,11.9,0,8, 
9224,3,7.2,.74,.71,1.1,-.186,25,80,.992,3.67,.4,6,-1,8,2
9225,5,7.3,.21,-.5,69.8,.04,109, ,.9994,2.8,.82,9,0,8,3
9226,3,-12.3,.26,.28,9.4, ,13,362,.99254,3.17,.91,5.3,-1,7,1
9227,0,19.2,1.2,1.77,2.5,.026,31,85,1.01565,3.94, ,4.6,1,7, 
9228,3,-.800000000000001,.27,.33, ,.042,24,375,.99215,3.35,.82,10.7,0,7,2
9229,5,14,.17,3.63, ,-.141,293,382,.95447,3.68,1.65,11.4,1,8,3
9230,4,10,-.27,-.57,51,.079,19,394,1.02976,3.17,1.61,10.1,0,11,1
9231,0,27,.21,-.5,2.2,.075,34,24,.98882,3.07,.0299999999999999,5.8,0,16,1
9232,4,9.2,.16,.49,2, ,18,477,.98441,3.02,.53,10.2,2,10,3
9233,4,11.7,.225,.24,-1.8,.054,71,562,.98354,3.17,.39,5,0,6,1
9234,4,-.9,1.8,.69,2.2,-.216, ,-42,1.00485, ,-2.12,14.4,0,7,4
9235,5,8.4,1.35,.56,-34.1,.379,55,-159,.96061,2.36,.58,9.4,1,9,3
9236,2,11.4,-1.03,.36,29,.506, ,78,.9921,1.83,.7,10.4,-2,9,2
9238,4,-5.4,.27,.02,64,.2,62,140,.99237,3.1,.59,10.1,0,7,1
9239,3,6.6,.27,.41,1.3, ,144,381,.95719,3.42,.47,7.9,-1,7,1
9242,0,-.9,.23,.16,15,.37,-190,113,.99178,3.1,.55,11.9,-1,9, 
9243,4,6.8,.17,1.2,129.5,.034,158,-683,.97608,3.08,.44,12.6,-1,7,2
9244,4,14.8,.4,.38,-20.1,.03,40,109,.99075,4.07,.46,12.6,0,8,3
9245,4,5.2,-1.2,.36,114.2,.287, ,-259,.9956,3.38,1.07,11.05,1,9,2
9246,5,8.4,.77,-1.24,1.4, ,12,471,1.01699,3.25,-1.36,10.9,0,6,2
9247,3,-1.7,.44,.13,25.2,-.201,309,173,.95341,3.33,.48,12.5,-1,6,2
9249,0,8.1,1.31,2.74,2.6, ,18,167,.99922,2.02,.87,10.4,-1,10, 
9250,5,7.1,.21,.32, ,-.438,441,33,.993,3.57,.57,13.8,0,8,3
9251,2,6.2,.27,.26,12.1,-.272,43,876,.98309,3.97,.51,11.8,-2,7, 
9252,0,9.3,.84,.4,-23.9, , ,8,.99549,3.23,2.22,15.8,1,10, 
9254,0,6.9,.1,.22,44.7,-.226,25,339,.94868,3.13,-1.1,11.3,0,13, 
9255,4,2.2,.36,.64,2.9,-.186,-36,-221,.998,2.06,.95,14.2,0,11,3
9256,4,7,1.34,1.47,33.7,.044,-188,41,.99987, ,2.06,7.9,0,7,2
9257,3,9,.29,.34,71.5,.03,34,177,.94676,3.68, ,10.6,0,10,1
9258,4,.800000000000001,.31,1.08,1.8,.559,17,80,.98992,3.15,.34,12.3,-1,7,4
9260,3,16.2,.22,-.72,69.8,.045,181,71,.88978,3.61,.63,9.8,-1,6,2
9261,4,-4.3,-.7,.14,7.1,-.206,22,56,.9944,3.14,.41,10.8,0,9,1
9262,3,6.6,-.265,-.34,2.1,.158,12,-157,.94508,3,.67,12.2,0,7,1
9263,0,15.5,.18,.49,68.5,-.071,17,-71,.9919,3.06,1.81,11.6,-1,7, 
9264,4,12.9,.21,.82,-24.6,.157,313,-675,1.01292,3.28,-1.12,8.5,0,7,3
9265,4,15.6,-.67,.3,2.3,.406,-174,-188,.98964,4.22,.52,12.8,0,7, 
9266,0,6.9,1.22,.39,2.4,.048,-160,544,.99409,3.72,.54,6.5,0,8, 
9268,0,-1,-.5,.5,18.1,.054,50,221,1.01697,2.94,.58,6.2,0,7, 
9269,3,16.9,.2,.27,9.6,.519,-211,105,1.09228,3.04,.64,10.5,-2,8, 
9270,5,-1.9,.15,.64,1.7,.327,25,471,.99088,3.01,.51,11.9,1,8,3
9272,4,7.5,1.76,-1.2,5.7,.014,29,180,.99312,3.62,.56,22.1,0,8,2
9274,4,6.8,.19,1.42,9.5,-.127,56,-234,.95564,4.02, ,16.5,0,7,2
9275,0,8.6,.41,-.89,2.55,.042,-1.5,129.5,.9998,3.36,-.17,15.7,1,8, 
9276,0,6.9,.41,-1.16,-14.3,.049,36,-276,.99007,2.89,-.37,12.7,-1,9, 
9277,4,-17.1,.41,.34,14.4,-.838,-114,532,.96697,3.22,.51,4.5,1,7,3
9278,3,6.1,1.64,.34,1.1,-.549,-120,110,.9898,4.58, ,14.1,-1,7,1
9279,4,12,.28,-.64,-28.7,.039,16,326,.99363,3.07,.39,11.7,0,8,2
9280,3,14,1.645,.64, ,-.496,57,484,.99562,4.34,2.31,8.9,-1,7,2
9281,0,5,.6,.16,1.5,.049,280,97,.9917,3.58,.44,14.4,-1,5, 
9282,5,15.6,-.62,.34,-44.1,.04,137,-9,.9932,2.69,.41,16.2,1,8,2
9283,4,6.4,-.63,.49,13.3,.045,-217, ,1.01966,4.34,1.11,4.6,0,7,3
9284,0,14.9,.74,.44,61.6, ,6,15,1.03117,2.94,.64,11.4,-1,9, 
9286,0,6.8,.04,.18,3.4,.023,-140,87,.9902,3.14,.53,12.7,-1,7, 
9287,3,5.8,.3,.31,-48.8,.033,7,225,.99237,3.2,.48,11.7,-1,6,2
9288,0,10.7,.43,.39,.4,-.114,176,-253,.9986,2.74,.87,9.6,0,12, 
9289,4,6.8,.32,-.2,65.6,.372,206,210,1.03657,4.13,1.82,11.2,0,7,3
9292,6,-15.2,-.33,.37,27.4,.027,-186,429,.95943,3.79,.37,12.4,1,7,3
9295,0,-6.7,.11,.02, ,-.413,18,44,1.01098,3.9,-.52,12.8,0,6, 
9296,1,10.6,.09,.36,-25.1,.807,-97,119,.9446, ,.47,9.4,-1,9,1
9297,4,18.7,1.49,1.86,12.8,.042,-115,184,.95817,3.99,1.3,10.7,0,8,2
9298,5,6.5,.3,.27,-31.9,.612,37,-220,1.01093,3.2,.6, ,-1,7,2
9299,4,6.5,.3,-.23,-37.1,-.456,311,121,.95122,3.06,-.18,10.5,0,7,3
9300,4,-3.3,-1.24,.09,15.15,-.189,38,277,.9976,2.78,.6,10,0,9,2
9303,6,17.2,1.1,1.94,39.2,.376,38,102,.98819,1.91,1.53,13.7,1,7,3
9304,6,16.2,-.22,.31,-8.4,-.815,290,121,.94419,3.01,1.26,5.9,0,7,2
9305,6,7,1.62,.8,126.1, ,-222,42,.9935,3.52,.33,11.6,0,8,2
9306,5,5.2,.28,-.00999999999999998,76.45,-.288,26,319,.96546,3.5, ,12.5,2,6,2
9307,3,-3.8,.085,1.83,34.2,.036,17,158,.99306,3.13,.61,9.5,-1,7,3
9308,0,7.8,.64,-.32,-21.4,.202,241,274,.9962,3.31,.63,11,1,8, 
9309,0,5.3,-.69,-.34,8.2,.042,21,133,1.0398,2.71, ,13.4,-1,7,2
9310,5,5.8,.12,-.5,46.9,.052,35, ,.95774,3.32,-.45,11.4,1,6,3
9311,6,.5,.27,.29,11.4,-.024,31,115,1.03006,4.36,.48, ,0,6,3
9313,5,9.8,.21,-.42,30.7,-.538,172,80,.99432,3.15,.86,12.3,0,7,2
9314,4,5.9,1.32,.05,2.6, ,36,146,1.01436,2.38,2.21,13,0,6, 
9315,0,-.0999999999999996,.57,1.49,1.9,.542,21,144,1.00025,3.35,1.4,13.6,1,8, 
9317,3,-2.7,.645,-.65,38.1,-.038,14,57,.96474,3.37,-1.24,10.1,0,8,1
9318,0,7.1,.56,.14,51.5,.531,-184,369,.9335,3.14,.62,9.3,1,8, 
9320,0,15,.25,-.18,1.3,.437,264,366,.94903,2.94, ,-.300000000000001,0,10, 
9321,3,9.3,.27,1.21,4.6,.022,-153,436,.96927,3.36,.54,12.4,-1,6,1
9322,5,11.1,-.67,.15,24.8,.044,-282,-325,1.02168,2.9,1.75,10.2,1,7,3
9323,2,17.7,.54,3.14,7.1,.284,45,112,.99502,3.16,-.94,9.6,0,8, 
9324,2,5,1.55,-2.83,33.1,.045,10,475,.99261,2.94,1.2,10,-2,6,3
9325,0,16.1,.94,.27,-52.8,.1,20,136,.99089,2.06,-2.32,15.7,0,7, 
9326,0,-2.4,-.4,-.87,22.3,.478,149,-287,.96231,3.55,3.48,9.4,-1,7,1
9327,4,6,.17,-1.34,46.1,-.468,206,108,.9939,4.52,.32,9.8,0,6,1
9329,0,9.4,.26,.48,-7.1,.066,6,-212,.9587,3.15,.87, ,-1,11, 
9330,5,11.2,-.545,.59,-19.4,.129,261,102,.98212,4.66,-1.17,10.6,1,6,2
9332,0,2.3,-1.05,.24,6.7,-1.079,304, ,.95779,3.24,.57,11.3,-1,7, 
9333,1,-4.9,.07,.24,4.7,-.187,27,-210,.97788,4.39,.36,12.7,-2,6, 
9334,5,5.7,.25,.21,1.5, ,21,108,.98805,3.3,.59, ,1,6,4
9335,4,6.6,.52,.21,2.2,-.315,14,15,.93487,3.4,.63,9.4,0,7,1
9336,4,6.4,.62,1.08,6.9,.044,-226,-295,.9145,2.97,.3,16.3,-1,7,1
9337,3,7.9,1.39,.33,22,.504,144,-590,1.04315,3.29, ,10.7,0,7,1
9339,4,6.6,1.2,1.3,-15.2,-.47,35,-237,.98061,4.04,.67,9.4,1,7, 
9340,3,-.4,.2,.43,1.3,-.278,25,155,1.03654,3.62,.9,13.9,0,6,2
9341,2,5.2,.805,.15,1.45,.038,522,-306,.99125,4.6,-.06,6.6,0,6, 
9342,4,15.2,.2,1.51,.9,-.547,240,21,.96387,2.33,.36,12,0,8,2
9343,5,0,-.86,-.51,1.6,.556,32,528,.95836,4.04,1.94,12.5,0,8,2
9344,3,6.8,.07,1.45,21.35,.044,208,169,.9946,3.66,.76,10.6,-1,7,1
9345,5,-4.7,-1.16,.32,1,-.07,74,184,.99096,3.22,.72,8.2,1,7,2
9346,4,6.2,.27,.32,49.8,.452,270,519,.97352,2.54,-1.13,11,0,7,2
9347,2,7.5,.49,1.39,21.9,1.208,-141,515,.99711,2.32,-1.12,14.3,-1,8, 
9348,5,7.1,.95,.3,31.3,.037,45,143,.9932, ,-1.01,9.9,1,8,3
9349,6,6.8,.21,.27,2.1,.03,447,525,1.034,3.16,.61,12.6,1,7,3
9351,4,-1.9,.34,-.64,-30,-.333,68,198,1.04195,3.36,.37,9.5,0,10,2
9352,0,6.5,.11,-.34,42.5,-.334,22,445,.9996,3.46,.89,11.2,0,11, 
9353,6,14,.27,1.06,1.8,.028,104,168,.9911,2.99, ,12.1,1,8,4
9354,4,5.5,-1.27,.85,-41,.521,-249,525,1.04155,3.24, ,10,0,6, 
9355,5,6.2,.22,.2,20.8,.035,58,184,.96347,3.1,2.25,12.9,1,7,4
9357,5,6.9,.19,.33,47.9,-.845,63,149,.9925,3.44,-.78,17,2,7,3
9358,2,-16.7,.32,.21,-56.1,.044, ,467,.99345,2.73,.46,10.9,-1,7,2
9360,4,8,.14,.49,-25.8,.035,251,120,.9928,2.56,.4,10.6,-1,9,1
9361,5,18.6,.16,.23,15.5,.05,25,256,.99795,3.05,.43,8.7,0,8,3
9363,3,8.2,.2,.49,3.2,.031,9,97,.97353,3.06,2.91,5.5,0,8,2
9365,4,7,1.08,-.36,-27,-.293,58,200,.97068,2.68,1.09,9.4,0,7,2
9366,0,17.8,.69,.71,67.4,.075,15,833,1.0237,3.26,.61,9.1,-1,8, 
9367,0,3.2,.23,.68,-29.4,.047,-57,133,.96685,2.74,2.12,9.2,1,8,1
9368,5,9.8,.3,.39,31.6,-.265,-181,338,.96446,2.86,-2.69,18,0,10,2
9369,0,7.3,.17,1.12,8.1,.46,-26,385,.99508,3.8,-1.22,10.4,2,8, 
9371,3,6.6,1.22,.23,19.2,.075,20,411,.96479,3.34,.6,12.2,0,7,1
9372,5,6.7,-1.03,.49,1.4,.305,130,114,.9914,3.32,.42,14.6,0,7,2
9373,5,-18.1,-.41,.11,7.4,.31,-234, ,1.0118,2.35,-.72,7.4,1,7,3
9374,3,5.8,-2.03,-1.02,-15.5,.046,49, ,.9975,3.17,-.89,15.2,0,7,1
9375,0,19,.53,.24,2,.337, ,254,.96587,2.15,.54,5.9,-1,9, 
9376,5,7.8,.49,.49,19.7,-.137,-21, ,.9952,3.21,-.14,10,2,9,2
9377,6,12.5,.12,.25,50.5,.018, ,-186,1.01807,3.2,.45,5.7,1,7,3
9378,5,10,.36,.27,3.2,-.566,13,73,.98942,5.09,-.81,5.8,0,7,3
9379,6,7,-.96,1.68,15.6, ,-157,121,1.03644,3.2,.94,5.1,1,7,2
9381,3,6.6,-.475,.13,-52.7,.441,104,-360,.9922,4.04,.52,11.5,0,6,2
9382,3,5.7,.255,.6,1.2,.5,-83,72,.99091,4.09,.42,9.4,0,7,2
9383,0,7.1,1.27,1.65,1.8,-.037,482,40,.98069,3.34,1.82,2.2,-1,8,1
9384,3,6.2,.32,.16,7,.045,-201,-174,.9949,3.18,1,9.6,-1,7, 
9385,4,6.8,.18,.3,12.8,-.226,244,171,1.02851,3,.52,9,-1,7,2
9387,5,1.2,.16,.41,-51.8,.026,72,108,.991,3.02,1.81,16.5,1,8,2
9388,2,9.2,-.48,1,3.4,.61,32,471,.96964,2.57,.9,9.4,0,11,1
9389,5,9.5,.26,.35,129.8,.067,-355,78,.94924,2.15,.53,9.1,0,8, 
9390,4,8.4,.665,.61,4.3,-.451,92,95,1.01267,3.16,.32,5.8,1,10,1
9391,5,15.7,.33,-2.01,2.6,.04,138,-300,.9989,3.07,1.13,17.7,0,8,1
9392,5,10,.275,-.34,69.8,-.137,216,114,.9787,3.38,-1.49,8.6,1,6,1
9393,4,14.4,.39,.45,-25,1.107,13,91,1.00542,3.03,-1.14,15.6,1,8,2
9395,4,6.4,.24,.3,38.1,.03,276,98,.96328,3.37,.43,12.4,-1,6,2
9396,5,6.7,.26,1.95,8.3,.394,78,191,.9953,3.23,-.95,10.3,1,7,2
9397,4,2.6,.63,.31,4.5,-1.048,-54,-88,1.03369,3.31,1.66,6.6,0,6,1
9398,4,.9,-.49,.49,-58.8,-.458,-13,120,.9942,3.01,.98,4.7,0,7,2
9399,4,.0999999999999996,-.11,.26,45.55,.034,73,142,.9945,2.45, ,11.4,0,9,3
9400,5,17.6,.7,.07,-60,.033,-247,26,.97805,2.6,2.34,4.7,0,9,2
9401,3,-2.4,.28,-.3,1.9,-.014,33,120,.94631,3.16,.69,10.6,0,7,1
9402,2,18.8,-.29,.92,2.1,-.534,306,434,1.00398,4.26,.5,9.5,-1,7,1
9403,3,7.2,-.74,.75,-37.9,-.258,305,178,.95441,2.46,.5,13.7,0,8,2
9404,0,2.6,.22,.63,81.25,.352,45,110,.95355,2.63,-.55,14.7,0,6,1
9405,4,3.8,-.67,1.98,14.3,.452,-167,-20,.95553,3.94,.38,5,0,8,2
9406,6,5.1,-.125,0,-60.1,.788,-108,-251,.99264,3.56,.94,15.1,1,6,3
9408,0,7.9,-.81,.18, ,.05,-201,152,1.04258,4.39,.37,14.4,1,8, 
9409,0,1.2,.55,.04,30.1, ,43,56,.9962,2.14,.6,20.8,0,9, 
9410,5,7.1,.3,.38,-19,.094,22,86,.97384,4.42,-.15,13.1,0,6,3
9412,4,6.8,.25,.24,-12.65,.053,41,211,.9955,3.37,-.4,9.5,0,7,2
9413,0,16.4,.61,1.76,2.9,-.1,-201,74,.99865,2.02,.64,10.4,-1,10,1
9414,0,6.4,.575,.03,68.4,-.044,-49,-283,1.03676,3.61,1.8,6.1,1,7, 
9415,4,6,1.25,-1.06,1.3,.426,-20,280,.9914,3.66,-1.35,11.1,0,7,3
9416,5,15.2,.25,1.14,-2.6,.54,-184,60,1.01142,3.04,.46,7,0,8,3
9417,4,8.6,.64,-.54,2.4,.069,278,70,.99358,3.47,.34,15.4,1,7,3
9418,4,2.6,.34,.3,62.3,-.485,129,377,.97472,4.06,.79,15.7,0,6,2
9419,7,3.5,-.6,1.69,3.9,.027,252,96,.99035,2.33,.6,12.6,1,7,3
9420,0,20.2,-.15,-1.52,-33,.542,-116,19,1.02928,3.31,.53,15.7,2,10, 
9421,0,.100000000000001,.25,1.38,27.25,.039,37,171,.97898,4.1,.34,11.8,-1,7,1
9424,4,19.2,1.06,1.95,-20.9,.296,33,87,.993,3.22,1.08,10.8,0,8, 
9425,0,16.5,.58,1.43,2.9,-.00899999999999999,-133,-284,1.04172,3.17,-.51,6.8,0,9, 
9426,2,-4.8,.15,-1.6,1.9,.08,8,68,.97045,6.13,.73,10.5,-1,7, 
9427,0,2.7,.3,.33,3.7,.03,302,173,.9887,3.36,.3,8.4,-1,6, 
9428,3,-3.6,.22,-1.21,16,.044, ,113,.95128, ,-.87,8.4,-1,6,1
9430,4,9,.31,-.02,-3.7,.028,26,-177,.9937,2.99,.14,9.3,1,10,2
9431,1,13.9,.64,.3,26.7,-.459,-192,76,.94855, ,1.37,18.5,-2,8,1
9432,2,12.6,-.48,-.84,6.65,.129,-1,165,.94514,.84,.37,11.1,-1,8,1
9434,0,14.8,-.09,.67,-42.2,.079,198,73,.98244,3.35,-.6,11.2,0,8,1
9435,0,6.9,.765,.18,-20.5,-.221,5.5,345,.99612,4.53,-.14,3.9,-1,8, 
9436,6,5.8,-.38,.59,2.7,.049,11, ,1.01675,3.44,.73,9.2,1,6,3
9437,3,-12.6,1.08,-1.22,1.1,.043,20,404,.9927,3, ,11.4,-1,9,1
9438,4,6.9,.32,-.08,-29.1,.417,69,572,.9959,3.72,.4,8.9,1,7,3
9440,0,6.6,.24,.33,-66,.032,8,81,.99626,3.19,-.14,9.8,0,7,1
9441,3,6.8,.28,1.25,5,.065,-216,407,.94975,4.35,-.65,19.8,-1,8,3
9442,2,7.5,.26,.26,-16.85,.084,33,214,1.0011,3.17, ,8,-1,8,1
9443,2,6.5,.38,1.48,1.4,.142,92,69,.9726,3.14,-.86,13.7,0,7,2
9444,3,-.7,-.54,1.82,11.3,.086,8,313,.9966,3.07,.15,9.4,0,7,1
9445,5,-.100000000000001,.59,.6,-12.9,-.519,81,276,.94634,1.77,-.77,12.1,1,6,3
9446,2,.2,.4,2.3,11.2,.043,40,435,.9975,5.16,2.13,8.7,-1,8, 
9447,3,8.7,.27,2.61,99.4,.053,32,-95,.95748,3.36,.37,10.4,-1,6,2
9448,4,6.5,-1.19,.82,-4.1,.507,44,179,.9948,3.19, ,9.4,0,7,1
9449,4,28,.46,.27,-19.1,.092,31,33,.95925,4.12,1.43,11,0,6, 
9450,4,8.9,.09,.34,56.5,-.263,66,4,.96891,2.41,1.74,12.6,1,7,4
9454,3,6.1,.38,.14,-8.6,.06,203,389,.99344,3.07,2.56,9.2,1,7,3
9455,2,7.9,1.33,.49, ,.017,26,323,1.07587,2.54,.39,16.6,-1,9,2
9456,5,-1.8,.3,-.32,8,-.512,-265,164,1.02878,4.01,.53,11.2,1,7,1
9457,3,4.3,-.61,.52,11.1,.146,-144,140,.99628,3.07, ,5.9,0,7,1
9458,4,1.4,.34,.78,-84.8,.04,3,-304,.99815,3.27,.29,9.2,0,8,1
9459,2,-1.5,.27,.42,1.6, ,35,319,.992,4.76,1.84,13.8,-2,8,2
9461,3,6,.36,.06,1.4,.066,27,354,.9934,2.99,-1.43,22.5,0,6,1
9462,2,7.7,.28,.35,57.5,.602,31,92,1.00889,3.06,1.34,9.6,-1,8,1
9463,2,6.8,.26,-2.1,9.3,-.457,54,214,.98325,3.79,.77,13.1,-1,7, 
9464,4,18.7,.25,.31,-21.5,-.355,-163,494,.9914,3.67,-.4,18.9,0,8,2
9466,6,8.5,-.05,.46,-72.1,.104,122, ,1.04029,3.12,.65,12.4,1,11,4
9467,2,7,.21,1.85,10.4,-.41,15,108,.95986,2.54,.5,10.8,-2,8,3
9468,4,-17.2,.4,.37,8.9,.053,61,148,.996,3.16, ,9.3,1,8,2
9469,4,7.6,1.28,.36,1.9,.043,24,111,1.005,5.84,2.05,15.4,0,8, 
9471,0,-4.8,1.33,.28,44.2,-.286,28,108,.99486,3.16,1.88,10.4,0,7, 
9472,4,6.8,-1.04,.23,3.3,.007,198,99,.9896,1.9,.4,11.3,0,7,2
9473,4,8.6,.335,.14,1.3,.036,69,-58,.99212,3.47,.46,10.5,1,5,2
9474,4,14,.27,.22,27.7,.395,-238,630,.98875,4.03,.29,12.3,0,6,2
9475,0,6.8,.64,.77,-40.5,.613,14,291,1.0328,4.14,1.63,7.9,-1,7, 
9477,4,21.5,.44,-.34,-2.4,-.458,68,112,1.03923,3.05,.5,12.6,1,8, 
9478,6,8.4,.25,.49,7.8,.035,22,95,.9935,4,1.98,12,2,9,2
9479,0,5.1,1.22,.32,1.1, ,25,147,1.01884,4.15,2.3,10.2,-1,7, 
9480,4,5.9,1.31,.81,14.2,.039,299,437,.96541,3.08,.34,15.7,-1,7,2
9481,4,6.1,.31,.42,-25.5,.057,25,148,1.03407,3.16, ,9.6,1,7,3
9482,0,5.6,.915,-3.1,2.1,.041,17,-360,.99346,3.68,1.97,11.4,0,7, 
9483,0,5.5,1.57,.25,2.3, ,7,58,.99633,3.12,.97,9.6,0,7, 
9484,4,16.3,-.82,-.58,11.3,.026,11,77,1.01508,3.13,4.05,14.8,-1,7,2
9487,3,2.8,.28,1.2,8.5,-.433,55, ,.9962,3.65,.55,4,-1,7,2
9489,4,6.1,.19,.04,15.6,.056,75,-105,.9995,3.58,.44,15.5,0,7,2
9490,0,9.8,-.38,.32,2.3,.325,-247,152,.96383,3.25, ,9.4,0,11, 
9491,2,-.2,.25,.01,-31.5,-.542,77,267,1.02466,4.52,.52,6.5,-2,7,2
9492,6,6.5,-1.11,1.15,12.6,-.159,34,-60,1.03976,3.37,.68,11.4,1,7,3
9493,0,15.5,.67,.66,2.2,-.036,545,68,.9956,3.57,.72,9.3,-1,8,1
9494,3,16.9,.88,1.95,-26.5, ,20,167,1.03844,3.44,.43,8.4,0,10,1
9495,0,17.7,1.65,-.14,-28.6,.255,65,-90,.99276,3.39,.5,14.5,2,6, 
9496,4,7.8,-.98,.24,7.7,.047,-52,70,1.00503,2.94,.31,9.6,0,8,1
9497,4,6.7,1.66,.44,18.75,.057,-34,224,1.02468,3.11,.65,15,1,7,2
9498,2,6.5,-.35,1.79,82.8,.044,92,-139,.96172,2.81,-2.07,13.3,-2,8,2
9499,7,5.4,.97,2.38,-108.8,.026,29,204,1.05951, ,.77, ,1,6,3
9500,0,-.399999999999999,-1,.23,3.3,-.272,34,113,1.01588,4.21,.48,8.4,0,7, 
9501,0,16.8,.27,.65,32.9,.091, ,-266,1.00103,3.28, ,11.9,0,10, 
9502,3,7.6,.31,.26,16.3,.073,40,-24,.94729,.86,.31,9.8,0,8,1
9503,4,17,-.35,.23,6.3,.051,35,-19,.9963,3.36,-1.05,10,0,8,2
9504,2,6.9,.72,.17,38.2,.509,59,-82,.99754,3.08,-.55,10.5,-1,7,1
9505,0,7.2,.685,.21,-27.7,.61,33, ,.96134,4.57,-.79,15.5,-1,8, 
9506,5,-1.2,.3,.42,2.2,.036,28,128,1.01466,2.55,-2.86,8.7,1,7,4
9509,3,5.8,.27,1.42,1.4,1.249,-100,-258,.98994,2.04, ,11.5,-1,6,1
9510,2,6.5,-.97,.81,1.2,.816,272,412,.9936,4.09,-.34,5.5,-1,8, 
9511,4,13.1,-.09,1.85,-23.7,-.983,21,61,1.00239,4.37,.55,10.8,0,8,2
9512,0,8.2,.18,.36,1.1,-.015,28,-173,.9923,2.38,.68,10.3,0,9, 
9513,4,5.2,.28,1.76,-4,.141,-150,241,.95921,3.21,-.16,8.4,1,7,2
9514,3,-9.5,.195,1.28,33,-.457,37,473,.97849,3,-1.26,10.9,-1,7, 
9515,3,27.3,.26,1.09,10.4,.349,-198,57,.96909,3.39, ,10.6,0,6,2
9516,3,8.2,.18,.38,-32.8,.04,41,92,1.03553,2.88,3.95,12,-1,9,1
9518,5,4.1,.3,.62,12.3,.028,22,-81,.99314,1.73,.38,7.1,1,7,1
9519,0,16.5,.25,-.78,16.3,.206,17,161,.9941,2.65,.37,11.2,1,8, 
9520,4,8.2,-1.01,.29,1.8,.047,47,187,.9933,3.09, ,10.2,0,9,2
9522,1,6.5,-.6,-.29,59.3,.029,5, ,1.01998,3.07,.43,3.7,-2,8, 
9523,5,6.3,-.475,.37,30.7,.262,37,114,1.0347,3,2.02,12.2,1,7,2
9524,3,7.9,1.73,.4,39.8,.168,19,184,.99782,3.06,.89,13.7,0,9,1
9525,5,17.5,.68,1.84,11.1,-.537,126,151,1.02944,3.06,.49,8.6,2,9,2
9526,2,6.5,.4,.38,8.3,.048,-164,174,1.01167,3.14,1.15,17.8,-1,7,2
9527,3,16.3,-.95,.49,23.1,.031,44,109,1.02461,3.07,.46, ,-1,8,2
9529,0,7.4,.11,.41,66.2,.084,-187,17,1.059,3.08,-.68,9.3,1,12, 
9530,4,5.3,.57,.84, ,.148,210,27,1.00712,3.28,.13,12.5,-1,6,2
9531,3,18.6,-1.07,.32,2,.121,15,28,1.04803,3.23,2.11,11.3,-2,8,3
9533,0,14.7,.76,1.23,4.8,-.052,34,705,.99437,3.01,2.19,12.9,0,9,1
9534,1,7.5,.22,3.05,2.6,.464,22,-278,1.03338,3.32, , ,-1,8, 
9535,5,-11.4,.28,.24,32.8, ,42,111,.99242,3.1,.45,11.8,1,7,4
9537,3,5.7,.31,.36,71.1,.354,-111,-170,.99332,3.31, ,11.0666666666667,-1,6,1
9538,1,5.5,.85,.23,2.9,.039,10,108,.95619,2.91,.5,9.2,-2,6,1
9539,5,7.8,.86,.34, ,.035,31,-455,.99096,4.07,.72,11.3,0,8,4
9541,0,8.8,.66,.26,1.7,-.042,-266,61,.9549,3.15,.74,7.9,1,10, 
9543,5,9.1,.36,1.03,1.8,-.521,-122,-177,.99495,4.34,.82,12.9,0,10,2
9544,5,-.5,.27,.25,5.8,.038,227,155,.99605,3.28,.38,15.3,1,7,2
9545,2,7.4,.09,.56,41.15,.063,52.5,705,1.00098,3.25,1.94,4,-1,10,2
9547,4,8.7,.32,.28,32.2,.039,167,94,.98387,2.04,.57,18.5,-1,7,1
9550,4,7.8,.28,.4,61.8,-.195,-91,572,.9976,3.34, ,14.9,0,9,2
9551,3,8.2,.37,1.79, ,.028,10,121,.94494,2.97,.48,10.4,0,9,2
